y,const,L,K,pop,edu,group,cl,Long,Lat
8.883161585,1,-8.033638718,-6.497958097,14.13905675,10.3,155,1,20.07932011,46.58625688
9.722723036,1,-7.763006773,-5.344261233,13.44147144,36.7,156,1,-8.486796192,54.00112096
10.07894122,1,-7.72716816,-5.037279743,14.08075529,37.3,157,1,-8.424149024,52.34741344
10.28169175,1,-7.69032671,-5.111988329,14.41024525,44.6,158,1,-7.003495717,53.35063513
10.10041697,1,-7.793135127,-5.166331386,15.25586688,8.9,159,1,7.914440968,45.05838663
10.30223268,1,-7.563815391,-4.848306559,11.68771876,7.6,160,1,7.399866175,45.7346202
10.07832226,1,-7.813929364,-5.350604354,14.27508499,10.7,161,1,8.705789893,44.27107408
10.30298106,1,-7.650909485,-5.131709946,16.01135529,9.7,162,1,9.768253604,45.6159629
9.889109387,1,-7.856644236,-5.662001093,14.04757421,9.2,163,1,13.85687108,42.2315338
9.762082068,1,-7.997712181,-5.362633207,12.68261734,9.1,164,1,14.59010901,41.68881798
9.615148948,1,-7.986418013,-5.693789665,15.55820057,8.9,165,1,14.84093324,40.85880911
9.600856789,1,-8.033353073,-5.900371126,15.20930175,8.6,166,1,16.62597147,40.991365
9.733564828,1,-7.963017127,-5.543904438,13.30535138,6.9,167,1,16.07886999,40.50065991
9.502087882,1,-8.085101455,-5.849992785,14.52028982,10.4,168,1,16.35405138,39.07272005
9.570274161,1,-8.095664493,-5.798032101,15.42206432,9.3,169,1,14.1371188,37.58752272
9.665333643,1,-7.981982004,-5.511517242,14.30813148,7.5,170,1,9.024695642,40.0765791
10.38223384,1,-7.518286694,-4.942390419,13.03854689,7,171,1,11.40826323,46.70084842
10.31903572,1,-7.667418662,-5.048425532,13.06558136,8.9,172,1,11.10781174,46.13415983
10.14899767,1,-7.727721483,-5.241605493,15.31887659,8.8,173,1,11.84663401,45.66205917
10.09802128,1,-7.727411368,-5.29240506,13.98085549,8.8,174,1,13.06046241,46.16563973
